line,time,text,speaker_id,speaker_role,secondary_speaker_id,confidence,exclude_from_single_speaker_eval,notes
1,"00:00:04,140 --> 00:00:06,000",除了这晚安心长寿面,youyou,悠悠,,high,false,内心独白
2,"00:00:06,000 --> 00:00:07,920",妈妈就一定能回心转意,youyou,悠悠,,high,false,内心独白
3,"00:00:10,720 --> 00:00:11,460",陈木雪,qinyang,秦阳,,high,false,秦阳呼喊迟暮雪
4,"00:00:12,140 --> 00:00:12,980",十年了,qinyang,秦阳,,high,false,
5,"00:00:12,980 --> 00:00:14,340",公司不管,qinyang,秦阳,,high,false,
6,"00:00:14,340 --> 00:00:15,320",家庭不过,qinyang,秦阳,,high,false,
7,"00:00:15,960 --> 00:00:17,560",难道你的丈夫和女儿,qinyang,秦阳,,high,false,
8,"00:00:17,560 --> 00:00:20,040",还比不上一个全了腿的白月光吗,qinyang,秦阳,,high,false,
9,"00:00:20,580 --> 00:00:20,940",爸爸,youyou,悠悠,,high,false,
10,"00:00:21,460 --> 00:00:22,760",快去给妈妈送过去,youyou,悠悠,,high,false,
11,"00:00:22,760 --> 00:00:24,360",我去给妈妈准备礼物,youyou,悠悠,,high,false,
12,"00:00:25,280 --> 00:00:25,640",好,qinyang,秦阳,,high,false,
13,"00:00:41,030 --> 00:00:41,570",老婆,qinyang,秦阳,,high,false,
14,"00:00:42,250 --> 00:00:43,190",注意身体啊,qinyang,秦阳,,high,false,
15,"00:00:43,190 --> 00:00:44,270",你需要多休息,qinyang,秦阳,,high,false,
16,"00:00:44,830 --> 00:00:45,510",滚出去,chimuxue,迟暮雪,,high,false,画面主要是秦阳但声音来自迟暮雪
17,"00:00:47,830 --> 00:00:48,990",雪凡哥哥不想开门,chimuxue,迟暮雪,,high,false,
18,"00:00:49,530 --> 00:00:50,250",陈木雪,qinyang,秦阳,,high,false,秦阳呼喊迟暮雪
19,"00:00:50,250 --> 00:00:51,950",你能不能不要这么幼稚,qinyang,秦阳,,high,false,
20,"00:00:51,950 --> 00:00:53,670",难道你还想照顾他一辈子,qinyang,秦阳,,high,false,
21,"00:00:53,670 --> 00:00:54,350",谁啊,xuefan,雪凡,,high,false,画面硬字幕为秦阳且雪凡口型清晰
22,"00:00:54,350 --> 00:00:55,310",你别生气,xuefan,雪凡,,high,false,
23,"00:00:55,310 --> 00:00:56,550",都怪我不好,xuefan,雪凡,,high,false,
24,"00:00:56,550 --> 00:00:58,530",影响了你们的腹肌感情,xuefan,雪凡,,high,false,
